time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-30T22:49:45.780Z,19.4031658,-155.2711639,1.55,2.57,md,21,53,0.006889,0.12,hv,hv70499837,2018-07-30T22:52:43.310Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.24,0.38,20,automatic,hv,hv
2018-07-30T22:49:12.150Z,19.2894993,-155.2420044,4.6,2.8,ml,15,134,0.01834,0.24,hv,hv70499832,2018-07-30T22:54:54.370Z,"15km S of Volcano, Hawaii",earthquake,0.77,2.47,0.33,15,automatic,hv,hv
2018-07-30T22:46:12.360Z,59.9181,-152.1988,66.2,2.6,ml,,,,0.57,ak,ak19992334,2018-07-30T22:52:13.967Z,"25km NW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-07-30T22:46:02.070Z,19.4098339,-155.2678375,0.66,2.44,ml,25,46,0.007841,0.15,hv,hv70499827,2018-07-30T22:51:48.130Z,"3km SW of Volcano, Hawaii",earthquake,0.17,0.18,0.39,22,automatic,hv,hv
2018-07-30T22:45:57.190Z,19.427,-155.2514954,1.74,2.68,ml,16,155,0.01528,0.33,hv,hv70499822,2018-07-30T22:51:38.420Z,"1km WSW of Volcano, Hawaii",earthquake,0.63,0.81,0.5,21,automatic,hv,hv
2018-07-30T22:43:31.620Z,47.4878349,-122.2851639,26.03,2.51,md,23,75,0.0727,0.09,uw,uw61414051,2018-07-30T22:47:33.960Z,"0km ENE of Riverton, Washington",earthquake,0.44,0.79,0.3,21,automatic,uw,uw
2018-07-30T22:42:34.360Z,37.5916672,-118.8328323,3.83,1.09,md,11,160,0.003381,0.03,nc,nc73061406,2018-07-30T22:44:10.959Z,"14km ESE of Mammoth Lakes, CA",earthquake,0.87,0.78,0.17,11,automatic,nc,nc
2018-07-30T22:40:38.990Z,19.4021664,-155.269165,1.81,1.8,ml,18,78,0.004898,0.17,hv,hv70499807,2018-07-30T22:46:20.450Z,"4km SW of Volcano, Hawaii",earthquake,0.27,0.31,0.33,12,automatic,hv,hv
2018-07-30T22:37:52.920Z,37.6136665,-119.0165024,1.49,0.64,md,8,160,0.003918,0.02,nc,nc73061401,2018-07-30T22:39:31.325Z,"4km SW of Mammoth Lakes, CA",earthquake,0.6,0.92,0.36,6,automatic,nc,nc
2018-07-30T22:36:09.610Z,19.4136658,-155.2766724,0.6,2.61,ml,33,56,0.008057,0.17,hv,hv70499797,2018-07-30T22:42:04.250Z,"4km WSW of Volcano, Hawaii",earthquake,0.27,0.15,0.37,23,automatic,hv,hv
